Param,Ea,SE,Hd,SE,delS,delSSE,Var,R2,SSQ,MSE,DOF,n,Topt
Jmax,22819.3657712,5132.37193507,200000.0,0,647.040108098,2.21950849597,0.00151413827336,0.853961784943,0.00887448115051,0.0017748962301,4,5,28.0184651844
Vcmax,50413.1587822,19662.7425736,200000.0,0,639.00323157,11.7259881922,0.014419667229,0.905324817808,0.0875135849423,0.0175027169885,4,5,35.4701886419
