Param,Ea,SE,delS,delSSE,R2,n
Jmax,200000.0,0,25196.7265369,2574.95040383,504.628538411,22877167.7987,0.938022363021,30
Vcmax,200000.0,0,57273.0722649,4603.60117657,594.593578894,367.860004512,0.96491876667,30
Jmax,200000.0,0,25839.865947,5584.5574544,617.987182628,31.874561619,0.807486164013,20
Vcmax,200000.0,0,71233.5280209,5218.71906613,473.458227641,2906432399.22,0.811420844835,20
Jmax,200000.0,0,28004.920481,14302.3884616,487.585601954,73167202.5128,0.392921278701,28
Vcmax,200000.0,0,66820.0093107,29497.100537,643.327769356,11.4673802537,0.445850662165,28
Jmax,200000.0,0,25380.8934367,2405.73534902,426.160091713,716575283.783,0.889009823316,27
Vcmax,200000.0,0,63868.4132629,6185.20783021,627.160198157,10.7390423549,0.95033985447,27
Jmax,200000.0,0,47064.864543,12363.6414192,641.827817495,6.45405003568,0.729476191747,18
Vcmax,200000.0,0,85402.2008523,16345.7331055,644.541047331,6.37091590138,0.897486361259,18
Jmax,200000.0,0,22788.7452323,3480.46093918,474.422404689,33855544.6887,0.882577846006,24
Vcmax,200000.0,0,58179.1507639,8046.23875264,616.148605872,48.9546433808,0.912061563873,24
